# Sheet 'Remous 10 ' UsedRange starts at A1 ; data extent rows=200 cols=22
																					
																					
																					
																					
																					
	Cote seuil 	600																			
	RN	600																			
	PHEE	601.131834982254																			
	Hd	1.13183498225396																			
	Qs	160.735240718924																			
	Nbr de passes	1																			
	Longueur passe	70																			
	Ks	70																			
	Talus aval	0.8																			
																					
																					
CREAGER	L	5.087962656394													0.813053344898235						
	Z	596.270316666967																			
	k	0.5																			
	n	1.756																			
																					
																					
																					
																					
																					
																					
CUILLERE	L	13.63																			
P	120	40.5088690034249	10.5583412104733	583.840151474068	70	160.735240718924	0.1350224022729	9.45156815910299	70.2700448045458	0.134503516902434	17.0061981264048	14.776440026477	0.00208829781082364	4.46329132053838	598.715784208376	-3.41055399447828	0.0711452843834195	583.975173876341	584.907981836368	1.06783036229956	1.06783036229964
h	0.135665991857743	40.4947563533437	10.5607987141662	583.842249991569	70	160.735240718924	0.134709762719956	9.42968339039695	70.2694195254399	0.134193272892813	17.0456667593543	14.8279104492788	0.00210475256652052	4.4653960731049	598.786070624368	-3.3402675784863	0.0702915479915873	583.976959754289	584.910266978002	1.06801698643278	1.06801698643284
V	16.9255219610514	40.4806187687772	10.5632562178592	583.844347460744	70	160.735240718924	0.13440339965068	9.40823797554758	70.2688067993014	0.133889251918265	17.0845211544055	14.8786380933364	0.00212105416780921	4.46751712727271	598.85545132295	-3.27088687990488	0.0693858710186532	583.978750860395	584.912549201656	1.06820174091138	1.06820174091145
		40.4664562328845	10.5657137215521	583.846443880186	70	160.735240718924	0.134103435316025	9.38724047212178	70.2682068706321	0.133591575624012	17.122736036887	14.9285871001725	0.00213718819920851	4.46965431547192	598.923875011165	-3.20246319169007	0.0684289007132293	583.980547315502	584.91482832787	1.06838444768414	1.06838444768414
		40.4522687318623	10.568171225245	583.848539248487	70	160.735240718924	0.133809986226124	9.36669903582865	70.2676199724523	0.133300359959549	17.1602866820098	14.9777222358043	0.00215314028345293	4.47180745575537	598.991291080216	-3.13504712263921	0.067421321198708	583.982349234713	584.917104178926	1.06856493043881	1.06856493043881
10.3447379765783		40.4380562457389	10.570628728938	583.850633564242	70	160.735240718924	0.133523163359006	9.34662143513041	70.267046326718	0.133015715384873	17.1971489200131	15.0260089077522	0.00216889609810121	4.47397635185347	599.057649641826	-3.06868856102858	0.0663638529608761	583.984156727601	584.919376579051	1.06874301480934	1.06874301480941
	-2146826252	40.4238187621857	10.5730862326309	583.852726826045	70	160.735240718924	0.133243072367046	9.32701506569325	70.2664861447341	0.132737747074495	17.2332991409162	15.0734131815448	0.00218444139229467	4.47616079324577	599.122901564075	-3.00343663878016	0.0652572523185881	583.985969898412	584.921645354621	1.06891852857586	1.06891852857594
		40.4095562596297	10.5755437363238	583.854819032492	70	160.735240718924	0.132969813780719	9.30788696465033	70.2659396275614	0.132466555118824	17.2687142988916	15.1199017967172	0.00219976200363701	4.47836055524941	599.186998506657	-2.93933969619786	0.0641023108551053	583.987788846272	584.923910334349	1.06909130185761	1.06909130185756
		40.3952687241453	10.5780012400168	583.856910182178	70	160.735240718924	0.132703483209218	9.28924382464525	70.2654069664184	0.132202234722483	17.3033719162886	15.1654421823185	0.0022148438751619	4.48057539912457	599.249892955571	-2.87644524728364	0.0628998548374966	583.989613665387	584.926171349477	1.06926116729881	1.06926116729886
		40.3809561402419	10.5804587437097	583.859000273701	70	160.735240718924	0.132444171537636	9.27109200763454	70.2648883430753	0.131944876399255	17.3372500873211	15.2100024719245	0.00222967307236006	4.48280507219693	599.311538257181	-2.81479994567326	0.0616507445973866	583.991444445239	584.92842823395	1.06942796024919	1.06942796024922
		40.3666184893228	10.5829162474027	583.861089305658	70	160.735240718924	0.132191965120307	9.25343755842147	70.2643839302406	0.131694566163256	17.3703274814494	15.2535515181756	0.00224423580023114	4.48504930799716	599.371888651655	-2.75444955119974	0.0603558739032906	583.993281270779	584.930680824594	1.06959151893545	1.06959151893543
		40.3522557527566	10.5853737510956	583.863177276647	70	160.735240718924	0.131946945970114	9.23628621790798	70.2638938919402	0.131451385716149	17.4025833464622	15.2960589068284	0.00225851842033305	4.48730782641749	599.430899305725	-2.69543889712997	0.0590161692875881	583.995124222618	584.932928961275	1.06975168462748	1.06975168462747
		40.3378679180376	10.5878312547885	583.865264185268	70	160.735240718924	0.131709191943423	9.21964343603962	70.2634183838868	0.131215412630051	17.4339975112931	15.3374949703471	0.00227250746779139	4.48958033388528	599.488526344784	-2.63781185807125	0.0576325893761123	583.996973377211	584.935172487065	1.06990830179757	1.06990830179762
		40.3234549664738	10.5902887584815	583.867350030118	70	160.735240718924	0.131478776920496	9.20351438443475	70.262957553841	0.130986720525994	17.4645503885738	15.3778308010207	0.00228618966824347	4.49186652355353	599.544726884258	-2.58161131859697	0.056206124169762	583.998828807039	584.937411248392	1.07006121827305	1.07006121827299
		40.30901688088	10.5927462621744	583.8694348098	70	160.735240718924	0.131255770981141	9.18790396867985	70.2625115419623	0.130765379247689	17.4942229769538	15.4170382636277	0.00229955195467963	4.49416607550821	599.599459060261	-2.52687914259423	0.05473779432225	584.000690580781	584.939645095182	1.07021028538156	1.07021028538154
		40.2945536455817	10.5952037658674	583.871518522914	70	160.735240718924	0.13104024057547	9.17281684028291	70.2620804811509	0.13055145503048	17.5229968631933	15.4550900076407	0.00231258148415414	4.49647865699236	599.652682059488	-2.47365614336718	0.0532286503845398	584.00255876349	584.941873881006	1.07035535809166	1.07035535809168
		40.2800652433326	10.5976612695603	583.873601168062	70	160.735240718924	0.130832248689598	9.15825740827187	70.2616644973792	0.130345010665289	17.550854224052	15.4919594789877	0.00232526565433147	4.49880392264669	599.704356148348	-2.42198205450688	0.0516797720379145	584.004433416751	584.944097463207	1.07049629514563	1.07049629514564
		40.2655516568547	10.6001187732532	583.875682743846	70	160.735240718924	0.130631855006179	9.1442298504325	70.2612637100124	0.130146105657497	17.5777778279842	15.5276209313665	0.00233759211983929	4.50114151476653	599.754442701297	-2.37189550155767	0.0500922672981687	584.006314598852	584.946315703032	1.0706329591867	1.07063295918671
		40.2510128688387	10.6025762769462	583.877763248869	70	160.735240718924	0.130439116059698	9.13073812417887	70.2608782321194	0.129954796380624	17.6037510366534	15.5620494371171	0.00234954880839525	4.50349106357493	599.802904228358	-2.32343397449722	0.0484672717017247	584.008202364929	584.948528465749	1.07076521688043	1.07076521688041
		40.2364488634885	10.6050337806391	583.879842681736	70	160.735240718924	0.130254085386408	9.11778597704853	70.2605081707728	0.129771136224736	17.6287578062843	15.5952208976646	0.00236112393667688	4.5058521875116	599.849704401813	-2.27663380104218	0.0468059474799247	584.010096767122	584.950735620765	1.07089293902993	1.07089293902992
		40.2218596234338	10.6074912843321	583.88192104105	70	160.735240718924	0.130076813668885	9.10537695682198	70.2601536273378	0.129595175739541	17.6527826888592	15.6271120535245	0.00237230602590675	4.50822449353751	599.894808082042	-2.23153012081241	0.0451094827005818	584.011997854719	584.952937041736	1.07101600068563	1.07101600068566
		40.2072451328188	10.609948788025	583.883998325418	70	160.735240718924	0.129907348875104	9.09351442125725	70.2598146977502	0.129426962772056	17.6758108331785	15.6577004938918	0.0023830839171197	4.51060757745463	599.938181342505	-2.18815686035009	0.0433790904131683	584.013905674293	584.955132606667	1.07113428124944	1.07113428124939
		40.1926053742125	10.6124062917179	583.886074533445	70	160.735240718924	0.129745736392086	9.08220154744599	70.2594914727842	0.129266542598932	17.6978279857844	15.686964665794	0.00239344678608836	4.51300102424072	599.979791493814	-2.14654670904122	0.0416160077463701	584.015820269837	584.957322198018	1.07124766457298	1.07124766457292
		40.1779403301525	10.6148637954109	583.888149663739	70	160.735240718924	0.129592019154011	9.07144134078074	70.259184038308	0.129113958053294	17.718820491771	15.7148838828353	0.00240338415787092	4.51540440839859	600.019607106929	-2.1067310959254	0.0398214950201918	584.017741682893	584.95950570279	1.07135603905135	1.0713560390514
		40.1632499831451	10.6173212991038	583.890223714906	70	160.735240718924	0.129446237764821	9.06123664353747	70.2588924755296	0.128969249646134	17.7387752954848	15.7414383335227	0.00241288592096085	4.51781729431955	600.057598035428	-2.06874016742688	0.0379968348239572	584.01966995267	584.961683012617	1.07145929771173	1.07145929771171
